Marker,Jour,Mois,Année,Plongeur,Début - lat.,Début - long.,Fin - lat.,Fin - long.,Depth,Site,Transect,section,sexe,LC,Escape,Sa,Va,Du,Al,Gr,Co,Ca,type,commentaire,fond,,Site,Transect,section,sexe,LC
82,3,7,2013,Mcomeau,,,,,26,I2,1,9,f,23,,,,,,,,,,,,,,,,,
83,3,7,2013,Mcomeau,,,,,26,I2,1,9,i,15,,,,,,,,,,,,,,,,,
84,3,7,2013,Mcomeau,,,,,26,I2,1,9,i,10,,,,,,,,,,,,,,,,,
85,3,7,2013,Mcomeau,,,,,26,I2,1,9,f,20,,,,,,,,,,,,,,,,,
86,3,7,2013,Mcomeau,,,,,26,I2,1,9,m,26,,,,,,,,,,,,,,,,,
87,3,7,2013,Mcomeau,,,,,26,I2,1,9,i,12,,,,,,,,,,,,,,,,,
88,3,7,2013,Mcomeau,,,,,26,I2,1,9,f,65,,,,,,,,,,,,,,,,,
89,3,7,2013,Mcomeau,,,,,26,I2,1,12,i,15,,,,,,,,,,,,,,,,,
90,3,7,2013,Mcomeau,,,,,26,I2,1,12,m,88,,,,,,,,,,,,,,,,,
91,3,7,2013,Mcomeau,,,,,26,I2,1,12,m,25,,,,,,,,,,,,,,,,,
92,3,7,2013,Mcomeau,,,,,26,I2,1,12,i,10,,,,,,,,,,,,,,,,,
93,3,7,2013,Mcomeau,,,,,26,I2,1,12,i,10,,,,,,,,,,,,,,,,,
94,3,7,2013,Mcomeau,,,,,26,I2,1,12,i,11,,,,,,,,,,,,,,,,,
95,3,7,2013,Mcomeau,,,,,26,I2,1,12,i,10,,,,,,,,,,,,,,,,,
96,3,7,2013,Mcomeau,,,,,26,I2,1,12,i,18,,,,,,,,,,,,,,,,,
97,3,7,2013,Mcomeau,,,,,26,I2,1,12,i,14,,,,,,,,,,,,,,,,,
98,3,7,2013,Mcomeau,,,,,26,I2,1,12,m,23,,,,,,,,,,,,,,,,,
99,3,7,2013,Mcomeau,,,,,26,I2,1,13,f,40,,,,,,,,,,,,,,,,,
100,3,7,2013,Mcomeau,,,,,26,I2,1,13,i,16,,,,,,,,,,,,,,,,,
101,3,7,2013,Mcomeau,,,,,26,I2,1,13,f,22,,,,,,,,,,,,,,,,,
102,3,7,2013,Mcomeau,,,,,26,I2,1,13,i,11,,,,,,,,,,,,,,,,,
103,3,7,2013,Mcomeau,,,,,26,I2,1,13,i,15,,,,,,,,,,,,,,,,,
104,3,7,2013,Mcomeau,,,,,26,I2,1,13,i,12,,,,,,,,,,,,,,,,,
105,3,7,2013,Mcomeau,,,,,26,I2,1,13,i,13,,,,,,,,,,,,,,,,,
106,3,7,2013,Mcomeau,,,,,26,I2,1,13,i,12,,,,,,,,,,,,,,,,,
107,3,7,2013,Mcomeau,,,,,26,I2,1,14,M,30,,,,,,,,,,,,,,,,,
108,3,7,2013,Mcomeau,,,,,26,I2,1,14,i,11,,,,,,,,,,,,,,,,,
109,3,7,2013,Mcomeau,,,,,26,I2,1,14,M,22,,,,,,,,,,,,,,,,,
110,3,7,2013,Mcomeau,,,,,26,I2,1,14,i,15,,,,,,,,,,,,,,,,,
111,3,7,2013,Mcomeau,,,,,26,I2,1,14,F,22,,,,,,,,,,,,,,,,,
112,3,7,2013,Mcomeau,,,,,26,I2,1,14,i,18,,,,,,,,,,,,,,,,,
113,3,7,2013,Mcomeau,,,,,26,I2,1,14,i,11,,,,,,,,,,,,,,,,,
114,3,7,2013,Mcomeau,,,,,26,I2,1,14,i,11,,,,,,,,,,,,,,,,,
115,3,7,2013,Mcomeau,,,,,26,I2,1,14,F,21,,,,,,,,,,,,,,,,,
116,3,7,2013,Mcomeau,,,,,26,I2,1,14,F,25,,,,,,,,,,,,,,,,,
117,3,7,2013,Mcomeau,,,,,26,I2,1,14,M,24,,,,,,,,,,,,,,,,,
118,3,7,2013,Mcomeau,,,,,26,I2,1,14,F,21,,,,,,,,,,,,,,,,,
119,3,7,2013,Mcomeau,,,,,26,I2,1,15,i,19,,,,,,,,,,,,,,,,,
120,3,7,2013,Mcomeau,,,,,26,I2,1,15,M,56,,,,,,,,,,,,,,,,,
121,3,7,2013,Mcomeau,,,,,26,I2,1,15,F,23,,,,,,,,,,,,,,,,,
122,3,7,2013,Mcomeau,,,,,26,I2,1,15,i,11,,,,,,,,,,,,,,,,,
123,3,7,2013,Mcomeau,,,,,26,I2,1,15,i,17,,,,,,,,,,,,,,,,,
124,3,7,2013,Mcomeau,,,,,26,I2,1,15,F,23,,,,,,,,,,,,,,,,,
125,3,7,2013,Mcomeau,,,,,26,I2,1,15,i,12,,,,,,,,,,,,,,,,,
126,3,7,2013,Mcomeau,,,,,26,I2,1,15,M,72,,,,,,,,,,,,,,,,,
127,3,7,2013,Mcomeau,,,,,26,I2,1,15,F,22,,,,,,,,,,,,,,,,,
128,3,7,2013,Mcomeau,,,,,26,I2,1,15,i,11,,,,,,,,,,,,,,,,,
129,3,7,2013,Mcomeau,,,,,26,I2,1,15,i,14,,,,,,,,,,,,,,,,,
130,3,7,2013,Mcomeau,,,,,26,I2,1,15,M,38,,,,,,,,,,,,,,,,,
131,3,7,2013,Mcomeau,,,,,26,I2,1,15,M,55,,,,,,,,,,,,,,,,,
133,3,7,2013,Mcomeau,,,,,26,I2,1,17,M,62,,,,,,,,,,,,,,,,,
134,3,7,2013,Mcomeau,,,,,26,I2,1,17,F,25,,,,,,,,,,,,,,,,,
135,3,7,2013,Mcomeau,,,,,26,I2,1,17,i,13,,,,,,,,,,,,,,,,,
136,3,7,2013,Mcomeau,,,,,26,I2,1,17,M,58,,,,,,,,,,,,,,,,,
137,3,7,2013,Mcomeau,,,,,26,I2,1,17,M,30,,,,,,,,,,,,,,,,,
138,3,7,2013,Mcomeau,,,,,26,I2,1,17,i,11,,,,,,,,,,,,,,,,,
139,3,7,2013,Mcomeau,,,,,26,I2,1,17,F,25,,,,,,,,,,,,,,,,,
140,3,7,2013,Mcomeau,,,,,26,I2,1,17,M,21,,,,,,,,,,,,,,,,,
141,3,7,2013,Mcomeau,,,,,26,I2,1,17,i,11,,,,,,,,,,,,,,,,,
142,3,7,2013,Mcomeau,,,,,26,I2,1,17,i,9,,,,,,,,,,,,,,,,,
143,3,7,2013,Mcomeau,,,,,26,I2,1,17,M,35,,,,,,,,,,,,,,,,,
144,3,7,2013,Mcomeau,,,,,26,I2,1,17,i,13,,,,,,,,,,,,,,,,,
145,3,7,2013,Mcomeau,,,,,26,I2,1,17,M,43,,,,,,,,,,,,,,,,,
146,3,7,2013,Mcomeau,,,,,26,I2,1,17,i,16,,,,,,,,,,,,,,,,,
147,3,7,2013,Mcomeau,,,,,26,I2,1,17,i,18,,,,,,,,,,,,,,,,,
148,3,7,2013,Mcomeau,,,,,26,I2,1,18,F,72,,,,,,,,,,,,,,,,,
149,3,7,2013,Mcomeau,,,,,26,I2,1,18,i,15,,,,,,,,,,,,,,,,,
150,3,7,2013,Mcomeau,,,,,26,I2,1,18,M,22,,,,,,,,,,,,,,,,,
151,3,7,2013,Mcomeau,,,,,26,I2,1,18,M,22,,,,,,,,,,,,,,,,,
152,3,7,2013,Mcomeau,,,,,26,I2,1,18,M,29,,,,,,,,,,,,,,,,,
153,3,7,2013,Mcomeau,,,,,26,I2,1,18,i,11,,,,,,,,,,,,,,,,,
154,3,7,2013,Mcomeau,,,,,26,I2,1,18,M,24,,,,,,,,,,,,,,,,,
155,3,7,2013,Mcomeau,,,,,26,I2,1,18,i,17,,,,,,,,,,,,,,,,,
156,3,7,2013,Mcomeau,,,,,26,I2,1,18,M,20,,,,,,,,,,,,,,,,,
157,3,7,2013,Mcomeau,,,,,26,I2,1,18,F,59,,,,,,,,,,,,,,,,,
158,3,7,2013,Mcomeau,,,,,26,I2,1,18,i,14,,,,,,,,,,,,,,,,,
159,3,7,2013,Mcomeau,,,,,26,I2,1,19,M,23,,,,,,,,,,,,,,,,,
160,3,7,2013,Mcomeau,,,,,26,I2,1,19,i,15,,,,,,,,,,,,,,,,,
161,3,7,2013,Mcomeau,,,,,26,I2,1,19,F,65,,,,,,,,,,,,,,,,,
162,3,7,2013,Mcomeau,,,,,26,I2,1,19,i,12,,,,,,,,,,,,,,,,,
163,3,7,2013,Mcomeau,,,,,26,I2,1,20,i,13,,,,,,,,,,,,,,,,,
164,3,7,2013,Mcomeau,,,,,26,I2,1,20,i,13,,,,,,,,,,,,,,,,,
165,3,7,2013,Mcomeau,,,,,26,I2,1,20,M,40,,,,,,,,,,,,,,,,,
166,3,7,2013,Mcomeau,,,,,26,I2,1,20,F,50,,,,,,,,,,,,,,,,,
167,3,7,2013,Mcomeau,,,,,26,I2,1,20,F,29,,,,,,,,,,,,,,,,,
168,3,7,2013,Mcomeau,,,,,26,I2,1,20,i,12,,,,,,,,,,,,,,,,,
169,3,7,2013,Mcomeau,,,,,26,I2,1,20,M,22,,,,,,,,,,,,,,,,,
170,3,7,2013,Mcomeau,,,,,26,I2,1,20,i,18,,,,,,,,,,,,,,,,,
171,3,7,2013,Bcomeau,,,,,26,I2,1,1,f,20,,,,,,,,,,,,,,,,,
172,3,7,2013,Bcomeau,,,,,26,I2,1,1,m,25,,,,,,,,,,,,,,,,,
173,3,7,2013,Bcomeau,,,,,26,I2,1,1,i,17,,,,,,,,,,,,,,,,,
174,3,7,2013,Bcomeau,,,,,26,I2,1,1,i,18,,,,,,,,,,,,,,,,,
175,3,7,2013,Bcomeau,,,,,26,I2,1,2,i,18,,,,,,,,,,,,,,,,,
176,3,7,2013,Bcomeau,,,,,26,I2,1,2,i,9,,,,,,,,,,,,,,,,,
177,3,7,2013,Bcomeau,,,,,26,I2,1,2,m,22,,,,,,,,,,,,,,,,,
178,3,7,2013,Bcomeau,,,,,26,I2,1,2,i,19,,,,,,,,,,,,,,,,,
179,3,7,2013,Bcomeau,,,,,26,I2,1,2,i,16,,,,,,,,,,,,,,,,,
180,3,7,2013,Bcomeau,,,,,26,I2,1,2,f,31,,,,,,,,,,,,,,,,,
181,3,7,2013,Bcomeau,,,,,26,I2,1,2,f,22,,,,,,,,,,,,,,,,,
182,3,7,2013,Bcomeau,,,,,26,I2,1,2,f,32,,,,,,,,,,,,,,,,,
183,3,7,2013,Bcomeau,,,,,26,I2,1,2,f,60,,,,,,,,,,,,,,,,,
184,3,7,2013,Bcomeau,,,,,26,I2,1,2,i,16,,,,,,,,,,,,,,,,,
185,3,7,2013,Bcomeau,,,,,26,I2,1,3,f,22,,,,,,,,,,,,,,,,,
186,3,7,2013,Bcomeau,,,,,26,I2,1,3,f,36,,,,,,,,,,,,,,,,,
187,3,7,2013,Bcomeau,,,,,26,I2,1,3,i,19,,,,,,,,,,,,,,,,,
188,3,7,2013,Bcomeau,,,,,26,I2,1,3,i,16,,,,,,,,,,,,,,,,,
189,3,7,2013,Bcomeau,,,,,26,I2,1,3,f,30,,,,,,,,,,,,,,,,,
190,3,7,2013,Bcomeau,,,,,26,I2,1,3,i,18,,,,,,,,,,,,,,,,,
191,3,7,2013,Bcomeau,,,,,26,I2,1,3,m,50,,,,,,,,,,,,,,,,,
192,3,7,2013,Bcomeau,,,,,26,I2,1,3,i,16,,,,,,,,,,,,,,,,,
193,3,7,2013,Bcomeau,,,,,26,I2,1,4,i,19,,,,,,,,,,,,,,,,,
194,3,7,2013,Bcomeau,,,,,26,I2,1,4,m,21,,,,,,,,,,,,,,,,,
195,3,7,2013,Bcomeau,,,,,26,I2,1,4,i,19,,,,,,,,,,,,,,,,,
196,3,7,2013,Bcomeau,,,,,26,I2,1,4,i,19,,,,,,,,,,,,,,,,,
197,3,7,2013,Bcomeau,,,,,26,I2,1,4,f,25,,,,,,,,,,,,,,,,,
198,3,7,2013,Bcomeau,,,,,26,I2,1,4,i,16,,,,,,,,,,,,,,,,,
199,3,7,2013,Bcomeau,,,,,26,I2,1,4,i,19,,,,,,,,,,,,,,,,,
200,3,7,2013,Bcomeau,,,,,26,I2,1,4,i,17,,,,,,,,,,,,,,,,,
201,3,7,2013,Bcomeau,,,,,26,I2,1,4,m,21,,,,,,,,,,,,,,,,,
202,3,7,2013,Bcomeau,,,,,26,I2,1,5,f,23,,,,,,,,,,,,,,,,,
203,3,7,2013,Bcomeau,,,,,26,I2,1,5,m,24,,,,,,,,,,,,,,,,,
204,3,7,2013,Bcomeau,,,,,26,I2,1,5,i,17,,,,,,,,,,,,,,,,,
205,3,7,2013,Bcomeau,,,,,26,I2,1,5,f,21,,,,,,,,,,,,,,,,,
206,3,7,2013,Bcomeau,,,,,26,I2,1,5,m,22,,,,,,,,,,,,,,,,,
207,3,7,2013,Bcomeau,,,,,26,I2,1,5,i,19,,,,,,,,,,,,,,,,,
208,3,7,2013,Bcomeau,,,,,26,I2,1,5,i,13,,,,,,,,,,,,,,,,,
209,3,7,2013,Bcomeau,,,,,26,I2,1,5,i,12,,,,,,,,,,,,,,,,,
210,3,7,2013,Bcomeau,,,,,26,I2,1,6,i,17,,,,,,,,,,,,,,,,,
211,3,7,2013,Bcomeau,,,,,26,I2,1,6,i,15,,,,,,,,,,,,,,,,,
212,3,7,2013,Bcomeau,,,,,26,I2,1,6,m,65,,,,,,,,,,,,,,,,,
213,3,7,2013,Bcomeau,,,,,26,I2,1,7,i,19,,,,,,,,,,,,,,,,,
214,3,7,2013,Bcomeau,,,,,26,I2,1,7,i,12,,,,,,,,,,,,,,,,,
215,3,7,2013,Bcomeau,,,,,26,I2,1,7,f,22,,,,,,,,,,,,,,,,,
216,3,7,2013,Bcomeau,,,,,26,I2,1,7,f,30,,,,,,,,,,,,,,,,,
217,3,7,2013,Bcomeau,,,,,26,I2,1,7,i,13,,,,,,,,,,,,,,,,,
218,3,7,2013,Bcomeau,,,,,26,I2,1,8,m,23,,,,,,,,,,,,,,,,,
219,3,7,2013,Bcomeau,,,,,26,I2,1,8,i,16,,,,,,,,,,,,,,,,,
220,3,7,2013,Bcomeau,,,,,26,I2,1,8,i,12,,,,,,,,,,,,,,,,,
221,3,7,2013,Bcomeau,,,,,26,I2,1,8,f,20,,,,,,,,,,,,,,,,,
222,3,7,2013,Bcomeau,,,,,26,I2,1,8,f,112,,,,,,,,,,,,,,,,,
223,3,7,2013,Bcomeau,,,,,26,I2,1,8,i,15,,,,,,,,,,,,,,,,,
224,3,7,2013,Bcomeau,,,,,26,I2,1,9,i,17,,,,,,,,,,,,,,,,,
225,3,7,2013,Bcomeau,,,,,26,I2,1,9,i,17,,,,,,,,,,,,,,,,,
226,3,7,2013,Bcomeau,,,,,26,I2,1,9,f,23,,,,,,,,,,,,,,,,,
227,3,7,2013,Bcomeau,,,,,26,I2,1,9,f,47,,,,,,,,,,,,,,,,,
228,3,7,2013,Bcomeau,,,,,26,I2,1,9,i,15,,,,,,,,,,,,,,,,,
229,3,7,2013,Bcomeau,,,,,26,I2,1,9,m,32,,,,,,,,,,,,,,,,,
230,3,7,2013,Bcomeau,,,,,26,I2,1,9,f,26,,,,,,,,,,,,,,,,,
231,3,7,2013,Bcomeau,,,,,26,I2,1,9,i,16,,,,,,,,,,,,,,,,,
232,3,7,2013,Bcomeau,,,,,26,I2,1,9,i,15,,,,,,,,,,,,,,,,,
233,3,7,2013,Bcomeau,,,,,26,I2,1,9,i,12,,,,,,,,,,,,,,,,,
234,3,7,2013,Bcomeau,,,,,26,I2,1,12,f,31,,,,,,,,,,,,,,,,,
235,3,7,2013,Bcomeau,,,,,26,I2,1,12,i,12,,,,,,,,,,,,,,,,,
236,3,7,2013,Bcomeau,,,,,26,I2,1,12,i,16,,,,,,,,,,,,,,,,,
237,3,7,2013,Bcomeau,,,,,26,I2,1,12,m,31,,,,,,,,,,,,,,,,,
238,3,7,2013,Bcomeau,,,,,26,I2,1,12,i,15,,,,,,,,,,,,,,,,,
239,3,7,2013,Bcomeau,,,,,26,I2,1,12,m,48,,,,,,,,,,,,,,,,,
240,3,7,2013,Bcomeau,,,,,26,I2,1,12,m,22,,,,,,,,,,,,,,,,,
241,3,7,2013,Bcomeau,,,,,26,I2,1,12,i,16,,,,,,,,,,,,,,,,,
242,3,7,2013,Bcomeau,,,,,26,I2,1,12,f,29,,,,,,,,,,,,,,,,,
243,3,7,2013,Bcomeau,,,,,26,I2,1,12,m,22,,,,,,,,,,,,,,,,,
244,3,7,2013,Bcomeau,,,,,26,I2,1,12,i,10,,,,,,,,,,,,,,,,,
245,3,7,2013,Bcomeau,,,,,26,I2,1,12,i,18,,,,,,,,,,,,,,,,,
246,3,7,2013,Bcomeau,,,,,26,I2,1,12,i,16,,,,,,,,,,,,,,,,,
247,3,7,2013,Bcomeau,,,,,26,I2,1,12,f,24,,,,,,,,,,,,,,,,,
248,3,7,2013,Bcomeau,,,,,26,I2,1,13,f,29,,,,,,,,,,,,,,,,,
249,3,7,2013,Bcomeau,,,,,26,I2,1,13,i,19,,,,,,,,,,,,,,,,,
250,3,7,2013,Bcomeau,,,,,26,I2,1,13,i,13,,,,,,,,,,,,,,,,,
251,3,7,2013,Bcomeau,,,,,26,I2,1,13,i,19,,,,,,,,,,,,,,,,,
252,3,7,2013,Bcomeau,,,,,26,I2,1,13,m,25,,,,,,,,,,,,,,,,,
253,3,7,2013,Bcomeau,,,,,26,I2,1,13,i,18,,,,,,,,,,,,,,,,,
254,3,7,2013,Bcomeau,,,,,26,I2,1,13,f,22,,,,,,,,,,,,,,,,,
255,3,7,2013,Bcomeau,,,,,26,I2,1,13,i,12,,,,,,,,,,,,,,,,,
256,3,7,2013,Bcomeau,,,,,26,I2,1,13,i,12,,,,,,,,,,,,,,,,,
257,3,7,2013,Bcomeau,,,,,26,I2,1,13,i,12,,,,,,,,,,,,,,,,,
258,3,7,2013,Bcomeau,,,,,26,I2,1,13,m,25,,,,,,,,,,,,,,,,,
259,3,7,2013,Bcomeau,,,,,26,I2,1,13,i,14,,,,,,,,,,,,,,,,,
260,3,7,2013,Bcomeau,,,,,26,I2,1,13,f,59,,,,,,,,,,,,,,,,,
261,3,7,2013,Bcomeau,,,,,26,I2,1,13,i,19,,,,,,,,,,,,,,,,,
262,3,7,2013,Bcomeau,,,,,26,I2,1,13,i,13,,,,,,,,,,,,,,,,,
263,3,7,2013,Bcomeau,,,,,26,I2,1,13,i,13,,,,,,,,,,,,,,,,,
264,3,7,2013,Bcomeau,,,,,26,I2,1,13,m,22,,,,,,,,,,,,,,,,,
265,3,7,2013,Bcomeau,,,,,26,I2,1,13,i,14,,,,,,,,,,,,,,,,,
266,3,7,2013,Bcomeau,,,,,26,I2,1,13,m,22,,,,,,,,,,,,,,,,,
267,3,7,2013,Bcomeau,,,,,26,I2,1,14,b2,83,,,,,,,,,,,,,,,,,
268,3,7,2013,Bcomeau,,,,,26,I2,1,14,f,23,,,,,,,,,,,,,,,,,
269,3,7,2013,Bcomeau,,,,,26,I2,1,14,i,15,,,,,,,,,,,,,,,,,
270,3,7,2013,Bcomeau,,,,,26,I2,1,14,f,26,,,,,,,,,,,,,,,,,
271,3,7,2013,Bcomeau,,,,,26,I2,1,14,m,22,,,,,,,,,,,,,,,,,
272,3,7,2013,Bcomeau,,,,,26,I2,1,14,i,19,,,,,,,,,,,,,,,,,
273,3,7,2013,Bcomeau,,,,,26,I2,1,14,f,26,,,,,,,,,,,,,,,,,
274,3,7,2013,Bcomeau,,,,,26,I2,1,14,m,25,,,,,,,,,,,,,,,,,
275,3,7,2013,Bcomeau,,,,,26,I2,1,14,i,10,,,,,,,,,,,,,,,,,
